Designator,Mid X,Mid Y,Rotation,Layer
D37,327.2,-304.85,270.0,top
D38,346.45,-304.45,270.0,top
D39,365.6,-304.6,270.0,top
D4,153.9,-265.8,270.0,top
D40,94.7,-323.6,270.0,top
D41,120.8,-323.65,270.0,top
D42,140.55,-323.35,270.0,top
D43,160.65,-324.8,270.0,top
D44,180.3,-329.0,270.0,top
D45,199.35,-335.65,270.0,top
D46,256.35,-349.75,270.0,top
D47,273.55,-340.15,270.0,top
D48,291.95,-331.9,270.0,top
D49,311.8,-326.25,270.0,top
D5,174.3,-267.6,270.0,top
D50,331.65,-324.1,270.0,top
D51,351.3,-323.65,270.0,top
D52,382.3,-323.65,270.0,top
D53,92.7,-342.65,270.0,top
D54,123.8,-342.65,270.0,top
D55,144.1,-342.55,270.0,top
D56,163.8,-346.15,270.0,top
D57,183.5,-351.6,270.0,top
D58,202.35,-359.45,270.0,top
D59,264.7,-367.55,270.0,top
D6,195.35,-272.45,270.0,top
D60,282.65,-357.4,270.0,top
D61,301.3,-349.55,270.0,top
D62,321.0,-344.55,270.0,top
D63,341.0,-343.25,270.0,top
D64,372.75,-342.7,270.0,top
D65,403.9,-342.75,270.0,top
D66,67.45,-284.6,0.0,top
D67,62.7,-303.15,0.0,top
D68,58.8,-322.6,0.0,top
D69,56.5,-341.75,0.0,top
D7,215.25,-277.55,270.0,top
D70,59.2,-363.7,0.0,top
D71,85.45,-364.55,90.0,top
D72,111.65,-364.65,90.0,top
D73,150.0,-367.15,0.0,top
D74,179.15,-379.05,90.0,top
D75,281.6,-386.4,90.0,top
D76,305.8,-376.4,90.0,top
D77,370.4,-364.65,90.0,top
D78,399.0,-364.65,90.0,top
D79,439.0,-361.1,270.0,top
D8,253.9,-284.0,270.0,top
D80,467.5,-361.45,270.0,top
D81,486.25,-351.85,270.0,top
D82,467.45,-342.45,270.0,top
D83,448.5,-342.6,270.0,top
D84,429.45,-342.55,270.0,top
D85,429.45,-323.55,270.0,top
D86,448.45,-323.35,270.0,top
D87,467.45,-323.5,270.0,top
D88,486.25,-314.4,0.0,top
D89,467.05,-304.95,0.0,top
D9,273.15,-275.7,270.0,top
D90,448.2,-304.95,0.0,top
D91,429.25,-304.95,0.0,top
D92,429.15,-284.6,270.0,top
D93,448.3,-284.7,270.0,top
D94,467.5,-284.6,270.0,top
D95,486.1,-284.55,270.0,top
D96,448.45,-265.6,270.0,top
D97,429.5,-265.55,270.0,top
D98,390.35,-304.7,270.0,top
D99,467.25,-265.65,270.0,top
F1,61.9,-208.2,270.0,top
F2,76.9,-242.4625,270.0,top
F3,74.3,-242.45,270.0,top
J1,227.2,-353.25,270.0,top
J16,417.1,-239.75,180.0,top
J2,239.25,-356.53,180.0,top
J3,188.625,-203.45,90.0,top
J4,474.1,-239.75,180.0,top
J5,58.64545,-252.099999,270.0,top
J6,59.373,-220.8507,270.0,top
J7,500.775501,-243.659992,90.0,top
J8,60.0,-193.25,270.0,top
L1,103.85,-200.2,90.0,top
L2,157.5,-209.5,270.0,top
L3,90.524765,-152.4,180.0,top
L4,86.424765,-173.2,180.0,top
M1,188.35,-226.8,180.0,top
M2,157.395001,-204.1,180.0,top
M3,152.75,-206.3,90.0,top
MOSFET2(Q4)1,101.125,-206.9372,270.0,top
MOSFET4(Q5)1,105.175001,-206.94225,90.0,top
