Name,Value,Category,Description
Cin Pd,2.79 mW,Capacitor,Input capacitor power dissipation
Cout Pd,27.02 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,20.66%,System Information,Duty cycle
Vout p-p,7.63 mV,System Information,Peak-to-peak output ripple voltage
Cin IRMS,813.76 mA,Capacitor,Input capacitor RMS ripple current
Cout IRMS,178.59 mA,Capacitor,Output capacitor RMS ripple current
Efficiency,91.3%,System Information,Steady state efficiency
Frequency,340 kHz,System Information,Switching frequency
IC Tj,62.05 °C,IC,IC junction temperature
ICThetaJA Effective,60 °C/W,IC,Effective IC Junction-to-Ambient Thermal Resistance
L Ipp,618.66 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,90.72 mW,Inductor,Inductor power dissipation
IC Pd,534.08 mW,IC,IC power dissipation
IC Iq Pd,5.33 mW,IC,IC Iq Pd
Pout,6.6 W,System Information,Total output power
Iin Avg,430.22 mA,IC,Average input current
IC Ipk,2.31 A,IC,Peak switch current in IC
Mode,CCM,System Information,PWM/PFM Mode
FootPrint,192 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,3.31 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,1.66%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,16.8 V,System Information,Vin operating point
Iout,2 A,System Information,Iout operating point
Cin Pd,2.79 mW,Power,Input capacitor power dissipation
Cout Pd,27.02 µW,Power,Output capacitor power dissipation
L Pd,90.72 mW,Power,Inductor power dissipation
IC Pd,534.08 mW,Power,IC power dissipation
Total BOM,$3.46,System Information,Total BOM Cost
Total Pd,627.73 mW,Power,Total Power Dissipation
BOM Count,8 ,System Information,Total Design BOM count
